book_id;book_title;review_id;review_score;review_text;review_title;review_user;timestamp
1982111003;After (The After Series);R1DU2XCBDN2GBG;5;I love this book.;Five Stars;Avery Eason;1556593913
62319795;I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer;R32Q0HY4CYQ62R;4;She is an amazing writer..  but the organization after her death of the materials was a disaster. She gives great visuals. She shows not tells ... Her research and insight helped people have access to the infinite amount materials in a better and more concise format.;Author brilliant... editors and organizers failed;Elisa Calleiro;1556586502
62319795;I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer;R237DVEX5MFFQ6;5;"I received a copy of this book from HarperCollins in exchange for an honest review.Today’s Nonfiction review is on I’ll be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer by Michelle McNamara. It is 352 pages long and is published by Harper Collins. The cover is a dark picture of a house with gold highlights. The intended reader is someone who is interested in true crime and long running mysteries. There is foul language, discussion of rape and violence in this book. The story is pieced to together from first person interviews and police reports.From the dust jacket- A masterful true crime account of the Golden State Killer—the elusive serial rapist turned murderer who terrorized California for over a decade—from Michelle McNamara, the gifted journalist who died tragically while investigating the case.\You’ll be silent forever, and I’ll be gone in the dark.\""For more than ten years, a mysterious and violent predator committed fifty sexual assaults in Northern California before moving south, where he perpetrated ten sadistic murders. Then he disappeared, eluding capture by multiple police forces and some of the best detectives in the area.Three decades later, Michelle McNamara, a true crime journalist who created the popular website TrueCrimeDiary.com, was determined to find the violent psychopath she called \""the Golden State Killer.\"" Michelle pored over police reports, interviewed victims, and embedded herself in the online communities that were as obsessed with the case as she was.At the time of the crimes, the Golden State Killer was between the ages of eighteen and thirty, Caucasian, and athletic—capable of vaulting tall fences. He always wore a mask. After choosing a victim—he favored suburban couples—he often entered their home when no one was there, studying family pictures, mastering the layout. He attacked while they slept, using a flashlight to awaken and blind them. Though they could not recognize him, his victims recalled his voice: a guttural whisper through clenched teeth, abrupt and threatening.I’ll Be Gone in the Dark—the masterpiece McNamara was writing at the time of her sudden death—offers an atmospheric snapshot of a moment in American history and a chilling account of a criminal mastermind and the wreckage he left behind. It is also a portrait of a woman’s obsession and her unflagging pursuit of the truth. Framed by an introduction by Gillian Flynn and an afterword by her husband, Patton Oswalt, the book was completed by Michelle’s lead researcher and a close colleague. Utterly original and compelling, it is destined to become a true crime classic—and may at last unmask the Golden State Killer.Review- This is a compelling and terrifying read about a horrible killer who has still not been caught. McNamara was obsessed with this killer and with someone, anyone, getting him off the streets and in jail for his crimes.  McNamara was a wonderful writer was fascinated with true crime when a neighbor was murdered near her home and that killer was never caught either.  So McNamara started a blog called True Crime Dairy and that started everything. Her very untimely death cut short a amazing writer, and I think someone who could have caught the Gold State Killer. McNamara gives the crimes a timeline, the victims voices, and the cops, who are still hunted the GSK, a place to talk and be heard. She does not gloss over the horror of the crimes but she does not give too much detail about the blood and gore. We know what happened without having to see in our minds when it's time to sleep. If you are interesting in true crime, then treat yourself and read this book.I give this book a Five out of Five stars.""";There is foul language, discussion of rape and violence in this ...;larainey;1557356610
62319795;I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer;R1ZSKCOZ8WAV8U;5;I was 3/4: into this book when they caught him. Now, I want to he rest of the story. How close were the leads,? How close was the profile? Did he really stop? How many more victims were there?  So many questions, still.;Riveting;Amazon Customer;1556858437
62319795;I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer;R2VVR4JBHA0Q5U;4;This was given as a gift. I was told the story was really good! But, the CDs skipped at the end of the CD(s).I am hoping they will replace it for them. I would not expect new CDs to do that and they should not.But, the uninterrupted story was really very good I was told.;Unfortunately, the CDs skipped;Myra Wolf;1557379499
62319795;I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer;R38RPRIH6FAGAY;5;This is a great book that has been well researched and presented. I highly recommend it.;Five Stars;Andrew Murphy;1557301190
62319795;I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer;RU9RXL13FGQ9E;5;Haven’t finished it yet, but so far it’s very well written, the writer brings you into the book as if you were with her. It will be passed on and on.;Haven’t finished it yet, but so far it’s very ...;Faye Allen;1557380163
62319795;I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer;R3QS9EUR4VYLN8;4;Bu far the most interesting character in this book was Michelle herself. I found the end difficult to read, it didn’t feel complete due to her untimely death. It was extremely compelling to learn more about how these investigations are carried out, the small details that I would overlook, but that fixated her, and how she unpacked them. The endless dead ends. The paths followed, even (or especially) the ones that seemed like long shots.;Excellent investigative piece;E. Zinnia;1557373034
62319795;I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer;R1YZ74NJBAZRSV;5;I am a fan of true crime. This book chronicles the investigation of the dubbed but uncaught, Golden State Killer. The book is Ann Rule..ish.  It is a mesmerizing account of what is so far known of the case by Michelle McNamara, a writer/investigator who has sadly passed away.  Since she had not finished her writing of the book, parts were pieced together by her researchers based on her many articles on the case as well as her notes in addition to what she had already written. I found the autobiographical sections of the book most compelling.  The author’s personal journey in trying to capture the Golden State Killer was gripping.  For anyone who fancies her/himself an amateur sleuth, this book is a vicarious investigative trip through the experience of an obsessed and dedicated reporter.  I sincerely hope her steadfast probe will payoff in the identification and capture of the Golden State Killer.;A Compelling, Investigative Trip Through the Experience of an Obsessed and Dedicated Reporter;Claudine Wolk;1556802075
62319795;I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer;R6VQ4Q06T25TV;5;This book was a lot... It’s about a man who raped and murdered dozens of people in California in the 1970s and I was hooked and terrified at the same time. The investigation isn’t finished and the criminal isn’t caught but the author can’t be blamed for not trying. Michelle McNamara died in 2016 and the touching afterward by her husband made me cry. It was a creepy and sometimes chill inducing wonderful book that I’m glad I picked up!;It was a creepy and sometimes chill inducing wonderful book that I’m glad I picked up;Ashley Elliott;1557295121
62319795;I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer;R2OP1QOPBUUV4Q;5;Very pleased with book and with service.;Five Stars;mj boots-tease;1557356245
62319795;I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer;R2C5Y8GXFF7N6P;5;I absolutely loved this book. Michelle was such a talented writer. I only wish she would’ve been able to finish it. If you enjoy true crimes, read this book. Warning: don’t read at night before bed :).;Riveting;Amazon Customer;1556808930
62319795;I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer;R38MSJ8GSWLI5Q;5;A very good book about the Golden State killer. The author died after writing half the book, but her devoted friends finished it using her notes. The book tells the back story well and is frightening in its portrayal of the killer. It is a real true crime mystery and the reader will appreciate her story telling;True Crime;Kindle Customer;1556615634
62319795;I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer;R1ZORMXZ1PEQHC;5;One of the best true crime books.;True crime;Donald M. Mccarty;1556898884
62319795;I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer;R1EIGO4LFAPBOR;4;The killer has been identified via dna.  Although the accounts of the attacks were interesting.  They were also creepy.;Four Stars;Carol A.;1557215906
62319795;I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer;R39EXY1CDN875J;3;Ok. Probably better if the reality of how the killer was caught hadn't been discovered by the time I read her book.;This book;MB Hanrahan;1557375652
62319795;I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer;R23A199E3YWMUW;5;No Spoilers.  The EAR/GSK is pure evil.  Michelle did a fabulous job writing this book.  She will be missed as a writer and investigator.;EVIL;Donna C. Hughey;1557208944
62319795;I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer;R2OHZLA7U2GDV2;5;I didn’t know a lot about GSK before I preordered this book, just minor details and the general story, and I felt this book was a great introduction to it without being overwhelming in the gory details. Michelle’s writing is so gorgeous yet relatable. Great read about a case that is finally being solved after too long!;Beautifully written;Jessica Cristini;1556544252
62319795;I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer;R26TJZZ4Q0XWHO;2;Book focused too much on investigation techniques.  Actually book got old.  Boring.  I want read about crimes and events.  Not how author investigated.  Don’t buy it.  Over priced lousy book;Don’t buy;Dennis Ede;1557198380
62319795;I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer;R3257BANQEL06S;5;Very interesting. Well researched.;Get it now!;VCD;1556845729
62319795;I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer;R16LA45QXGG99F;5;I read the story and pre ordered the book on Amazon. I read it the day it arrived. It scared the hell out of me.;This book scared the hell out of me;Ken Keller;1556859001
